filename,x,y,z,distance_from_origin,color
spiral_sphere_1_r.png,0,0,0,0,r
spiral_sphere_1_b.png,0,0,0,0,b
spiral_sphere_2_r.png,0,10,0,10,r
spiral_sphere_2_b.png,0,10,0,10,b
spiral_sphere_3_r.png,0,20,0,20,r
spiral_sphere_3_b.png,0,20,0,20,b
spiral_sphere_4_r.png,10,20,0,22.3606797749979,r
spiral_sphere_4_b.png,10,20,0,22.3606797749979,b
spiral_sphere_5_r.png,20,20,0,28.2842712474619,r
spiral_sphere_5_b.png,20,20,0,28.2842712474619,b
spiral_sphere_6_r.png,20,10,0,22.3606797749979,r
spiral_sphere_6_b.png,20,10,0,22.3606797749979,b
spiral_sphere_7_r.png,20,0,0,20,r
spiral_sphere_7_b.png,20,0,0,20,b
spiral_sphere_8_r.png,10,0,0,10,r
spiral_sphere_8_b.png,10,0,0,10,b
spiral_sphere_9_r.png,10,10,0,14.142135623731,r
spiral_sphere_9_b.png,10,10,0,14.142135623731,b
